CRSE_CD	CRSE_NM	STD_CAT	CRT_YM
AAAA003	초급관리자향상(조)		2002.04
AAAA004	회원조합 중견직원과정		2002.07
AAAA005	회원조합초급직원과정		2003.11
AAAA006	농협정보시스템신규직원과정		2006.06
AAAA007	(농)마트실무자 (농?축)		2015.11
AAAA008	협동조합전문가기본과정		2016.11
AAAA009	(중앙회)5급신규직원입문과정(직무)	직원입문	2018.12
AABA001	세무		2001.11
AABA002	세무회계		2001.11
AABA003	전문감사요원(중)		2001.11
AABA005	농업인 법률구조사업과정		2002.04
AABA006	법률구조전문가과정(회원조합)		2002.04
AABA007	<은행>외환중급반(중앙회)		2002.04
AABA008	회계실무전문과정(중앙회)		2002.04
AABA009	회계실무전문과정(회원조합)		2002.04
AABA010	가공공장마케팅(회원조합)		2002.04
AABA011	채권회수특별반과정(중)		2002.04
AABA012	축산컨설턴트과정		2002.04
AABA013	여성책임자리더십과정		2002.04
AABA014	경영관리역과정		2002.04
AABA015	소비자상담요원(회)과정		2002.04
AABA016	전문감사요원(조)		2002.04
AABA017	소송대리인과정		2002.04
AABA018	신규검사역과정		2003.03
AABA019	경영컨설턴트양성과정		2003.05
AABA020	관리기관신규직원과정(중)		2003.05
AABA021	CS강사요원(워크샵)		2003.06
AABA022	여신실무과정(중)		2003.06
AABA023	농업인법률구조전문가과정		2003.11
AABA024	지도사업발전전략과정		2003.11
AABA025	농촌정보화교관과정		2003.11
AABA026	채권관리실무과정		2003.11
AABA027	인터넷실무활용		2003.12
AABA028	정보처리		2003.12
AABA029	전문감사요원(중)		2003.12
AABA030	경제사업장고객만족		2003.12
AABA031	경영관리전문		2003.12
AABA032	지도사업전문		2003.12
AABA033	여성복지사업전문가		2003.12
AABA034	맵시리더(조)		2004.02
AABA035	조합경영관리역		2004.02
AABA036	지부장역량강화		2004.02
AABA037	지점장향상		2004.02
AABA038	신임지점장		2004.02
AABA039	영업점이익관리		2004.02
AABA040	7 Habit		2004.02
AABA041	신임과장		2004.02
AABA042	사내강사양성		2004.02
AABA043	장제사업활성화		2004.02
AABA044	신임조합장		2004.02
AABA045	조합장경영능력향상		2004.02
AABA046	조합경영전략수립실무		2004.02
AABA048	세무회계전문		2004.02
AABA049	맵시리더심화		2004.02
AABA050	유통활성화전담자		2004.02
AABA051	농업경영컨설턴트		2004.02
AABA052	교수요원능력향상		2004.03
AABA053	세무관리전문과정		2002.04
AABA054	전략조합관리자과정		2002.11
AABA055	여성복지사업전문가		2003.01
AABA056	농약세일즈과정		2003.05
AABA057	맵시리더과정(합)		2003.06
AABA058	채소수급안정사업(합)		2003.08
AABA059	경영컨설팅능력향상		2003.08
AABA060	대출심사역향상과정		2003.10
AABA061	농축협 감정전문가 교육과정		2003.11
AABA062	농산물수출실무(합)		2003.11
AABA063	농촌정보화교관과정		2003.11
AABA064	소비자상담요원양성과정		2003.11
AABA065	여유자금외부운용과정		2003.11
AABA066	세무관리전문과정		2003.11
AABA067	수출실무(합)		2003.11
AABA068	정책여신실무과정		2003.11
AABA069	지도사업혁신과정		2003.11
AABA070	감사요원(조)		2003.12
AABA071	교수요원양성		2005.01
AABA072	지역문화복지센터활성화(워크샵)		2005.11
AABA073	화재특종기업공제전문		2006.01
AABA074	지역문화복지활성화교육		2006.03
AABA075	시군지부조합원교육담당자역량강화교육		2006.03
AABA076	위임농축협감사요원보수교육		2006.04
AABA077	핵심경영관리자(후반기교육)		2006.08
AABA078	외부회계감사실무		2006.09
AABA079	교육과정개발전문가과정		2008.06
AABA080	지도사업Leader과정		2008.06
AABA081	강사양성과정(농축협)		2010.09
AABA082	조합장 전문과정		2011.05
AABA083	전문강사양성과정		2012.03
AABA084	리더십FT양성과정		2012.03
AABA085	경제사업전문검사역양성과정		2013.09
AABA086	협동조합경영대학원		2014.01
AABA087	협동조합경영대학원 최고전략		2014.11
AABA088	사내강사양성(하나로유통)		2015.06
AABA089	(농)점장직무능력개발		2015.11
AABA090	(손해)헤아림강사과정		2015.11
AABA091	농협이념 전문과정		2016.03
AABA092	(하)농협이념 전문과정		2016.03
AABA093	(경제지주) 농협이념 전문과정		2016.03
AABA094	(손해)농협이념 전문과정		2016.03
AABA095	(양곡)농협이념 전문과정		2016.05
AABA096	하나로유통 세무회계 실무	회계일반	2017.04
AABA097	협동조합전문가역량강화과정	직원입문	2018.03
AACA001	노동조합 대의원 교육		2002.04
AACA002	(중)영업점 이익관리실무		2003.04
AACA003	금융텔러과정(중)		2003.06
AACA004	농축협금융텔러과정		2003.09
AACA005	현장적응실무(경제)		2009.01
AACA006	계열사신규직원		2009.01
AACA007	사업구조개편에 따른 경영전략 교육		2011.04
AACA008	청렴농협 실무교육		2011.04
AACA009	NH가족캠프		2011.07
AACA010	퇴직예정자교육		2011.12
AACA011	임파워링 코칭 과정		2015.02
AACA012	강사양성과정(유통)		2015.03
AAEA001	PC&Internet기초과정		2002.04
AAPA001	시설채소약정출하사업		2003.10
AAPA002	초음파육질진단활용기술		2003.11
AAPA003	축산컨설팅 전문과정		2003.11
AAPA004	한우생축장 경영지도		2003.11
AAPA005	사료공장 축산컨설턴트		2003.11
AAPA006	농가경영컨설팅		2015.02
AAPA007	경제사업전문검사역심화과정		2015.05
AAPA008	농정지원단실무자과정		2015.11
AAPA009	(농)마트관리직		2015.11
AAPA010	농축협 순회검사역 과정	직원입문	2019.03
ABGC001	농협관리자리더십개발		2001.11
ABGC002	총무분야		2001.11
ABGC003	실천관리자상급		2001.11
ABGC004	혁신관리자실천		2001.11
ABGC005	신창의력개발		2001.11
ABGC006	정보력기획력개발		2001.11
ABGC007	집중력실천력개발		2001.11
ABGC008	조직개발		2001.11
ABGC009	금융기관관리자실천		2001.11
ABGC010	실천사무자동화		2001.11
ABGC011	사무혁신		2001.11
ABGC012	전략형관리자		2001.11
ABGC013	제안지도사1급		2001.11
ABGC014	고객만족		2001.11
ABGC015	감독자리더쉽		2001.11
ABGC016	신기획력개발		2001.11
ABGC017	여사원능력향상		2001.11
ABGC018	실력중견사원		2001.11
ABGC019	전략형영업관리자		2001.11
ABGC020	전략적OJT		2001.11
ABGC021	인터넷정보검색사		2001.11
ABGC022	알차게 배우는 개인정보보호		2015.02
ABGC023	(유통)알차게 배우는 개인정보보호		2015.03
ABGC024	PC관리 및 정보보호		2016.02
ABGC025	개인정보보호 이해		2016.02
ABGC026	노사관계 실무		2016.02
ABGC027	농협 홍보과정		2016.02
ABGC028	협상스킬향상		2016.02
AD1C001	프리젠테이션 스킬 향상		2011.10
AD3A001	(생명) 직무전문가 육성체계 및 교육프로그램 사례발표회	강사양성과정	2018.04
AD3K001	(중)실전 jQuery	프로그래밍일반	2019.08
AD4A001	(중)Advanced C Programming	프로그래밍일반	2017.09
AD4A002	SW Test Manager	소프트웨어공학	2017.09
AD4A003	R을 이용한 데이터 분석	데이터분석	2017.09
AD4A004	모바일 앱 기획 및 UX설계 실무	웹/앱개발	2017.10
AD4A005	클라우드 컴퓨팅을 위한 하둡	클라우드컴퓨팅	2017.10
AD4A006	인공지능챗봇 - 이해부터 제작까지	머신러닝딥러닝	2017.10
AD4A007	실전! TensorFlow로 배우는 딥러닝	머신러닝딥러닝	2017.10
AD4A008	파이썬을 활용한 챗봇 서비스 개발	머신러닝딥러닝	2017.10
AD4A009	NoSQL 데이터 모델링	데이터베이스	2017.11
AD4A010	빅데이터를 위한 파이썬	프로그래밍일반	2017.11
AD4A011	정보보호제품 평가인증교육	정보보안	2017.11
AD4A012	파이썬 프로그래밍	프로그래밍일반	2017.12
AD4A013	파이썬으로 배우는 자연어처리 기술 입문	데이터분석	2017.12
AD4A014	빅데이터 분석을 통한 통계적 방법론	데이터분석	2017.12
AD4A015	SharePoint Server 2013 개발자 과정	웹/앱개발	2017.12
AD4A016	빅데이터 분석을 위한 Visual Analytics	데이터분석	2017.12
AD4A017	SMART 연말정산(실전반)(중앙회)	직원입문	2017.12
ADAA001	잘나가는상사의 비밀노트		2014.01
ADAA002	채권투자이해		2015.04
ADAA003	연기금 자산운용		2015.05
ADAA004	엑셀VBA와 함께하는 재무제표 분석		2015.07
ADAA005	프로젝트파이낸스 실무		2015.07
ADAA006	비즈니스 분석실무 입문		2015.07
ADAA007	금융권 실무자를 위한 개인정보보호		2015.07
ADAA008	실전 jQuery		2015.07
ADAA009	PMBOK기반 프로젝트관리 전문가		2015.07
ADAA010	임금관리기본		2015.09
ADAA011	금융권 IT컴플라이언스		2015.10
ADAA012	HTML5 & CSS3 Fundamental		2015.10
ADAA013	기업신용평가분석		2015.11
ADAA014	장외파생상품기초		2015.11
ADAA015	사모펀드투자 고급전문가		2015.11
ADAA016	거래상대방 리스크관리		2015.11
ADAA017	M&A		2015.11
ADAA018	부동산 디벨로퍼		2015.12
ADAA019	채권 및 금리파생상품 투자전략		2015.12
ADAA020	CRM 컨벤션		2015.12
ADAA021	기업가치평가실무		2015.12
ADAA022	공정거래 사건 최근판례		2015.12
ADAA023	사모펀드(PEF)	금융교육과정	2017.05
ADAA024	가맹거래법 위반 및 분쟁조정사례분석	법률교육과정	2018.09
ADAA025	M&A실무(재무 및 경영)	기업/신용교육과정	2018.10
ADAA026	사업타당성분석실무	경영교육과정	2018.10
ADAA027	회생과 파산에 관한 실무법률	법률교육과정	2018.10
ADAH001	(손해)보험한의학 특강		2016.11
ADBA001	전문기술교육		2001.11
ADBA002	노사관계고위지도자과정		2001.11
ADBA003	PM양성		2002.02
ADBA004	건설사업관리전문가 1		2002.02
ADBA005	사내서비스전문강사양성		2002.11
ADBA006	교육훈련비지원제도 활용특강		2002.11
ADBA007	노무관리노사관계종합대책세미나		2002.11
ADBA008	고객감동ServicePlus표준		2002.11
ADBA009	명강사시리즈		2002.11
ADBA010	국가계약제도해설		2002.11
ADBA011	단체협약체결전략세미나		2002.11
ADBA012	연봉제실무		2002.11
ADBA013	임금교섭전략세미나		2002.11
ADBA014	AsiaPacific CACS		2002.11
ADBA015	겅호워크숍		2002.11
ADBA016	관리자능력향상		2002.11
ADBA017	교류분석(TA)강사양성		2002.11
ADBA018	교류분석(TA)강사양성2		2002.11
ADBA019	교육학점이수제도운영사례		2002.11
ADBA020	기획관리실무종합		2002.11
ADBA021	노무진단사		2002.11
ADBA022	법무관리사		2002.11
ADBA023	비정규인력인사노무관리실무		2002.11
ADBA024	사내강사양성		2002.11
ADBA025	사내교수양성		2002.11
ADBA026	사내서비스강사양성		2002.11
ADBA027	사이버연수원운영사례발표회		2002.11
ADBA028	서비스유레카강사양성		2002.11
ADBA029	실무자를위한웹마케팅		2002.11
ADBA030	KHRD이슈사례발표회		2002.11
